High,Low,Volume,Close,Open,5SMA,30SMA,200SMA,CornClose,OilPrices,Volatility,MACD,adjUSDollarIndex,AvgTrueRange,DiscreteProfit
-1.590201244,-1.653639481,-0.271642725,-1.565663918,-1.678099152,-1.57831339,-1.49097038,-1.690981678,1.850369657,0.994912274,0.391498467,-0.371415759,-0.751856628,0.344762621,0
-1.582730387,-1.577074453,-0.903252115,-1.612088906,-1.565515474,-1.594375587,-1.486299995,-1.686205695,1.875439665,1.034074023,0.602341497,-1.057784194,-0.77988614,0.376697578,1
-1.555258016,-1.546332804,-0.618983311,-1.55274373,-1.589024631,-1.598012506,-1.482354055,-1.681141727,1.900509673,1.035337427,0.502618158,-1.781368579,-0.731471112,0.328548022,1
-1.51819438,-1.500894687,-0.642135515,-1.491181142,-1.545041331,-1.573239084,-1.476855046,-1.675769627,2.025859713,1.053023195,0.448483355,-0.879147638,-0.800270636,0.280198078,0
-1.526580706,-1.55322284,-0.032297825,-1.601482639,-1.486943249,-1.557408409,-1.476379018,-1.670930728,2.126139745,1.037863731,0.457030475,0.88754664,-0.964624879,0.379580553,0
-1.660714293,-1.768077347,1.856965187,-1.797885369,-1.618025748,-1.603877809,-1.48351121,-1.66675041,2.101069737,0.936801605,1.553984363,0.671162477,-0.934047624,0.54233626,1
-1.783280938,-1.799975373,3.206451093,-1.777444342,-1.79145378,-1.636966782,-1.488998987,-1.662633443,2.101069737,0.903956372,1.100956771,1.802527335,-0.927676927,0.580039595,0
-1.83350241,-1.883671591,1.676938823,-1.870680364,-1.790731043,-1.700588488,-1.498713182,-1.658908572,1.975719697,0.938064883,1.445713903,1.333074718,-1.005394892,0.671465358,1
-1.809307146,-1.802914547,0.278473782,-1.798656284,-1.844927302,-1.762116768,-1.506044112,-1.65481952,2.000789705,0.943117869,0.978439591,0.93645903,-0.969721258,0.635751202,1
-1.746457933,-1.729770421,-0.013200852,-1.725234547,-1.773869984,-1.786880533,-1.5135898,-1.651028414,2.000789705,0.950697791,0.619436593,0.729113027,-0.955706439,0.58073544,1
-1.682644417,-1.661493556,-0.291890119,-1.677315398,-1.705607164,-1.7627535,-1.520895098,-1.647145599,2.000789705,0.998702234,0.519714108,1.287883922,-0.986283694,0.530695067,0
-1.702550031,-1.687416176,2.027141079,-1.710675433,-1.68306126,-1.749392498,-1.527977592,-1.643220251,1.800229641,0.98101634,0.519714108,1.095955955,-1.032150086,0.584912962,1
-1.651123027,-1.645399554,-0.665560944,-1.668830621,-1.689516473,-1.709000721,-1.536393573,-1.639201865,1.624739585,1.02902091,0.380101831,1.417608088,-1.058905279,0.589289639,0
-1.662449332,-1.659903092,-0.360066889,-1.67307301,-1.667789746,-1.683870487,-1.544761486,-1.635269433,1.474319537,1.074498924,0.400046442,1.640903784,-1.021957328,0.496770923,1
-1.687946027,-1.670504008,-2.302953858,-1.666660878,-1.681327052,-1.672149418,-1.55337621,-1.631826558,1.549529561,1.132609593,0.331664919,1.170387854,-1.064001658,0.329837704,1
-1.62480735,-1.62164499,-1.342223661,-1.587213056,-1.646785757,-1.654119204,-1.557136231,-1.628146656,1.524459553,1.197036779,-0.041584514,1.079474606,-1.108593605,0.335009809,1
-1.564029711,-1.527733711,-0.076114451,-1.545898473,-1.571874834,-1.621145995,-1.558746988,-1.624175453,1.524459553,1.181877694,-0.072926045,0.770582228,-1.103497226,0.265570675,1
-1.518242033,-1.48586119,-0.592696212,-1.488723044,-1.530010926,-1.585105002,-1.558311051,-1.619900103,1.599669577,1.215985951,-0.195442941,0.991219641,-1.081838412,0.251346466,1
-1.500216195,-1.462877156,-0.800275137,-1.487276547,-1.488243463,-1.547925616,-1.559503499,-1.61565643,1.725019617,1.276623556,-0.235332163,0.106011705,-1.130253439,0.119233607,1
-1.410038756,-1.4158974,-0.174259665,-1.37928897,-1.460061528,-1.490420158,-1.55523059,-1.610899051,1.750089625,1.243778197,-0.292316766,0.018288396,-1.016861968,-0.085702909,1
-1.392880734,-1.344006703,-0.759924152,-1.35436546,-1.374070245,-1.443825455,-1.551098745,-1.606024708,1.750089625,1.290519363,-0.340753678,-0.030092338,-1.071645654,-0.221298658,1
-1.372059057,-1.317215912,-1.357955656,-1.34322897,-1.353210919,-1.403269641,-1.542802965,-1.601026979,1.549529561,1.304415549,-0.354999829,0.318674272,-1.075468734,-0.47478306,0
-1.375818611,-1.346367689,-0.698606761,-1.373311141,-1.338228736,-1.380174779,-1.537058756,-1.595828552,1.649809593,1.285466376,-0.17549833,0.151734157,-1.111142368,-0.56242841,1
-1.370902364,-1.317119452,-0.59545722,-1.350893987,-1.361303899,-1.352883517,-1.529120385,-1.59034392,1.649809593,1.310731813,-0.357849059,-0.177892822,-1.150637936,-0.664995036,1
-1.330561034,-1.301989489,-0.165588373,-1.310109627,-1.346177049,-1.339040167,-1.516223146,-1.584978244,1.524459553,1.357473231,-0.360698289,-0.266147788,-1.18631157,-0.710757092,1
-1.335525522,-1.287390075,-0.380990155,-1.296997004,-1.321608198,-1.327560272,-1.505079319,-1.57940877,1.574599569,1.367579457,-0.711153596,-0.434682872,-1.171023452,-0.779100826,1
-1.30892038,-1.255636154,-1.1337244,-1.280412912,-1.281816052,-1.314990266,-1.496721032,-1.573847713,1.574599569,1.318311609,-0.78238435,-0.306553676,-1.145541557,-0.912309078,0
-1.303281053,-1.253419861,-0.677798538,-1.295550507,-1.271121463,-1.29942973,-1.488774655,-1.568384126,1.574599569,1.339787464,-0.676962835,-0.024775774,-1.094578913,-1.010200278,0
-1.305209071,-1.294665962,-0.332758792,-1.326645466,-1.273867146,-1.294577406,-1.479188685,-1.563179496,1.424179521,1.279149859,-0.528802867,-0.237969998,-1.098401866,-0.996172799,1
-1.341068361,-1.306712053,-0.352344694,-1.305867238,-1.3261369,-1.293728469,-1.466730595,-1.558109994,1.198549449,1.293046045,-0.5886367,-0.292730609,-1.171023452,-1.060737343,1
-1.336682215,-1.326178137,-1.157250491,-1.299117906,-1.316019793,-1.294152877,-1.457869046,-1.552999067,1.173479441,1.26272737,-0.659867454,0.007655268,-1.154459997,-1.030594827,0
-1.34116426,-1.298086864,-1.045444038,-1.329586124,-1.301519827,-1.303992839,-1.448477002,-1.547916278,1.123339425,1.251357866,-0.468969035,-0.018395897,-1.158282059,-1.069692289,1
-1.330223911,-1.295388255,-0.355177604,-1.326548952,-1.313081224,-1.310195881,-1.44095696,-1.542500539,1.148409433,1.210932965,-0.468969035,0.028389868,-1.199051944,-1.064619767,0
-1.304967847,-1.283246291,0.402460307,-1.32765766,-1.313852179,-1.310398429,-1.435520482,-1.536892299,1.198549449,1.269043634,-0.451873654,-0.972187511,-1.146815875,-1.169275145,1
-1.259566126,-1.2616592,0.298606133,-1.225744426,-1.305855056,-1.294365202,-1.423028744,-1.530821966,1.123339425,1.36252647,-0.58293824,-1.145507503,-1.12515706,-1.027411889,1
-1.250793843,-1.207403557,-0.619630422,-1.212245758,-1.225500395,-1.276981378,-1.403558653,-1.524595461,1.073199409,1.332207542,-0.870710484,-1.179533514,-1.144268259,-1.003834404,0
-1.252866598,-1.193574668,-1.492986214,-1.224442696,-1.216298911,-1.25594132,-1.385173642,-1.518680636,0.922779361,1.319575013,-0.910599706,-0.889780766,-1.140445178,-1.06123644,0
-1.269494518,-1.243011875,-0.613044267,-1.271542678,-1.2269935,-1.244934116,-1.365254795,-1.513309865,0.922779361,1.28293982,-0.659867454,-0.747296846,-1.165927073,-1.007913546,0
-1.320053707,-1.283390396,-0.801396796,-1.302685301,-1.277528453,-1.239936943,-1.348765817,-1.508214888,0.947849369,1.242514919,-0.58578747,-1.202926396,-1.1340755,-1.005426465,1
